ID,Nombre Planta,Empresa Propietaria,Sector Industrial,Región,Comuna,Oportunidad SUPCON,Justificación Técnica,Subestación de Conexión
1,Planta Lácteos Osorno,Nestlé Chile S.A.,Alimentos y Bebidas,Los Lagos,Osorno,DCS de Procesos (Batch) + SCADA,"Requiere control preciso de temperatura para pasteurización, evaporadores y secadores de leche en polvo. Las recetas Batch deben cumplir con estándares de inocuidad e integración ERP.",Conexión dedicada en Media Tensión (U-55)
2,Planta Nutrición Infantil Teno,Nestlé Chile S.A.,Alimentos y Bebidas,Maule,Teno,DCS de Procesos + Instrumentación,"Fabricación de fórmulas lácteas infantiles. Control crítico de mezcla estéril, envasado al vacío y pesaje automatizado.",Conexión dedicada en Media Tensión
3,Fábrica de Café San Fernando,Nestlé Chile S.A.,Alimentos y Bebidas,O'Higgins,San Fernando,DCS de Procesos + SCADA,Línea de secado por atomización y liofilización de café instantáneo. Alta demanda térmica y control secuencial complejo.,Conexión dedicada (Área Industrial)
4,Cervecería Quilicura,Compañía de Cervecerías Unidas S.A. (CCU),Alimentos y Bebidas,Metropolitana,Quilicura,DCS de Procesos (Batch) + SIS + SCADA,"La planta de cerveza más grande del país. Control automático de maceración, filtración, ebullición de mosto y fermentación con control fino de temperatura. Sistema de seguridad instrumentada (SIS) para calderas y amoniaco.",S/E Privada CCU Quilicura
5,Planta Embotelladora Renca,Compañía de Cervecerías Unidas S.A. (CCU),Alimentos y Bebidas,Metropolitana,Renca,SCADA + Automatización PLC,"Línea de soplado de botellas PET, dosificación automatizada de jarabes, tapado y etiquetado a alta velocidad.",Conexión dedicada en Media Tensión
6,Bodegas Molina,Viña San Pedro (CCU),Alimentos y Bebidas,Maule,Molina,SCADA de Supervisión + DCS Térmico,Control térmico multizona de cubas de acero inoxidable para la fermentación controlada de vinos finos.,Conexión agrícola-industrial en Media Tensión
7,Planta Lácteos San Bernardo,Soprole S.A.,Alimentos y Bebidas,Metropolitana,San Bernardo,DCS de Procesos + SCADA,"Pasteurización de alta velocidad, fermentación de yogurt y envasado aséptico. Gestión integral de recetas Batch y CIP (Clean in Place).",S/E Privada Soprole
8,Complejo Industrial Nos,Carozzi S.A.,Alimentos y Bebidas,Metropolitana,San Bernardo,DCS de Procesos + SCADA HMI,"Producción de pastas, harinas y galletas. Control de molinos, extrusoras de masa, hornos rotatorios de temperatura continua y empaque robótico.",S/E Privada Carozzi Nos
9,Refinería Aconcagua,Empresa Nacional del Petróleo (ENAP),Química y Petroquímica,Valparaíso,Concón,DCS de Procesos + SIS (Redundante SIL3) + SCADA,Proceso crítico de destilación atmosférica y craqueo catalítico. Requiere DCS robusto para control continuo y SIS de parada de emergencia (ESD) certificado SIL3 para seguridad funcional.,S/E Refinería Aconcagua (ENAP)
10,Refinería Bío Bío,Empresa Nacional del Petróleo (ENAP),Química y Petroquímica,Biobío,Hualpén,DCS de Procesos + SIS (SIL3) + SCADA,"Producción de diésel, gasolina y gas licuado. Reactores de hidrotratamiento de alta presión y temperatura. Sistema instrumentado de seguridad indispensable.",S/E Refinería Bío Bío (ENAP)
